2026-08-19 13:02:38,576 | DEBUG | SESSION | Loading students from file
2026-08-19 13:02:38,576 | INFO | SESSION | Students loaded successfully
2026-08-19 13:02:43,444 | DEBUG | SESSION | Adding student: sam
2026-08-19 13:02:43,445 | DEBUG | SESSION | Trying to add student: sam, roll=12
2026-08-19 13:02:43,446 | INFO | SESSION | Students saved successfully to C:\Users\LENOVO\Desktop\ai_ml\Assign4\hard_1\students.json
2026-08-19 13:02:43,446 | INFO | SESSION | Student added successfully: sam
2026-08-21 17:41:02,788 | DEBUG | SESSION | Loading students from file
2026-08-21 17:41:02,788 | INFO | SESSION | Students loaded successfully
2026-08-21 17:41:15,245 | DEBUG | SESSION | Adding student: sam
2026-08-21 17:41:15,245 | DEBUG | SESSION | Trying to add student: sam, roll=23
2026-08-21 17:41:15,261 | INFO | SESSION | Students saved successfully to C:\Users\LENOVO\Desktop\ai_ml\Assign4\hard_1\students.json
2026-08-21 17:41:15,262 | INFO | SESSION | Student added successfully: sam
2026-08-21 17:41:21,595 | DEBUG | SESSION | Listing all students
2026-08-21 17:41:40,042 | DEBUG | SESSION | Searching student: sam
2026-08-21 17:41:40,043 | DEBUG | SESSION | Searching student by name: sam
2026-08-21 17:41:40,043 | INFO | SESSION | Student found: sam
2026-08-21 17:41:45,586 | DEBUG | SESSION | Calculating student statistics
2026-08-21 17:41:45,586 | INFO | SESSION | Student statistics calculated
2026-08-21 17:41:55,492 | INFO | SESSION | Application exited
2026-08-21 17:42:00,269 | DEBUG | SESSION | Loading students from file
2026-08-21 17:42:00,270 | INFO | SESSION | Students loaded successfully
